Municipality,Code,Porcentage of population living with at most 1/2 minimum wage (%),Employed population (%),Natural forests (%),Households with access to electric energy (%),Planted or destined to harvest area (%),Maximum capcacity of reservoirs (m^3),Nature conservation unit demarcated area(%),Average wind (m/s)
Lagoa Nova,2406502,0.549,0.0943,0.206,0.98,0.252,0,0,9.642443329
Lagoa Salgada,2406601,0.522,0.0912,0.075,0.997,0.182,0,0,9.187169135
Lajes,2406700,0.499,0.0861,0.613,0.965,0.016,0,0,9.505073089
Lajes Pintadas,2406809,0.513,0.0719,0.783,0.985,0.128,0,0,9.493713301
Lucrécia,2406908,0.492,0.095,0.51,0.963,0.161,24754574,0,10.32169425
Luís Gomes,2407005,0.531,0.0482,0.758,0.987,0.031,0,0,10.61086503
Macaíba,2407104,0.445,0.1535,0.121,0.968,0.032,89835678,0,9.09795799
Macau,2407203,0.428,0.1139,0.594,0.952,0.006,0,0.10669,9.650148255
Major Sales,2407252,0.485,0.0756,0.273,0.953,0.161,0,0,10.57974388
Marcelino Vieira,2407302,0.522,0.0511,0.159,0.973,0.025,11200125,0,10.50098389
Martins,2407401,0.508,0.1076,0.779,0.995,0.031,0,0,10.37040442
Maxaranguape,2407500,0.463,0.1053,0.597,0.969,0.131,0,0,9.011301896
Messias Targino,2407609,0.436,0.0806,0.515,0.928,0.03,0,0,10.16454633
Montanhas,2407708,0.514,0.0739,0.036,0.984,0.018,0,0,9.123038199
Monte Alegre,2407807,0.506,0.1114,0.06,0.98,0.05,0,0,9.108368893
Monte das Gameleiras,2407906,0.502,0.1803,0.377,0.982,0.025,0,0,9.365012824
Mossoró,2408003,0.38,0.2268,0.377,0.988,0.092,0,0.01803,10.05468699
Natal,2408102,0.357,0.3601,0.233,0.982,0.047,0,0.08588,9.033813888
Nísia Floresta,2408201,0.479,0.1265,0.27,0.964,0.096,84268200,0.83839,9.048327773
Nova Cruz,2408300,0.503,0.088,0.103,0.95,0.036,0,0,9.197158022
Olho d'Água do Borges,2408409,0.514,0.0964,0.129,0.984,0.074,6450554,0,10.26428595
Ouro Branco,2408508,0.439,0.1172,0.345,0.996,0.006,27937310,0,9.911378614
Paraná,2408607,0.563,0.0512,0.379,0.989,0.085,0,0,10.57516186
Paraú,2408706,0.464,0.0697,0.377,0.987,0.005,8057520,0,9.93710782
Parazinho,2408805,0.503,0.0716,0.338,0.975,0.044,0,0,9.260007918
Parelhas,2408904,0.417,0.1955,0.696,0.987,0.006,94112776,0,9.778192068
Parnamirim,2403251,0.355,0.1782,0.402,0.978,0.018,0,0,9.054142847
Passa e Fica,2409100,0.508,0.0887,0.018,0.979,0.162,0,0,9.298093535
Passagem,2409209,0.482,0.1471,0.029,0.991,0.032,0,0,9.15211195
Patu,2409308,0.493,0.0915,0.617,0.99,0.023,7985249,0,10.23112642
Pau dos Ferros,2409407,0.405,0.1638,0.066,0.998,0.067,54846000,0,10.51503213
Pedra Grande,2409506,0.55,0.1805,0.557,0.999,0.039,0,0,9.264506013
Pedra Preta,2409605,0.551,0.1616,0.63,0.982,0.018,0,0,9.426557242
Pedro Avelino,2409704,0.494,0.0997,0.494,0.994,0.004,0,0,9.555735846
Pedro Velho,2409803,0.509,0.0849,0.162,0.972,0.157,0,0.14301,9.085813294
Pendências,2409902,0.474,0.1243,0.59,0.984,0.018,0,0,9.706396162
Pilões,2410009,0.5,0.0662,0,0.962,0.046,5901875,0,10.44080832
Poço Branco,2410108,0.507,0.0486,0.257,0.988,0.099,136000000,0,9.219535267
Portalegre,2410207,0.505,0.0715,0.228,0.96,0.052,0,0,10.40699728
Porto do Mangue,2410256,0.543,0.1122,0.576,0.98,0.038,0,0.33723,9.728008648
Pureza,2410405,0.539,0.0787,0.515,0.972,0.105,0,0,9.296223992
Rafael Fernandes,2410504,0.452,0.0541,0.005,0.935,0.058,7000000,0,9.156098441
Rafael Godeiro,2410603,0.473,0.1139,0.089,0.976,0.058,0,0,10.52609036
Riacho da Cruz,2410702,0.501,0.0784,0.605,0.971,0.023,9604200,0,10.26951729
Riacho de Santana,2410801,0.5,0.0758,0.75,0.999,0.038,0,0,10.38721664
Riachuelo,2410900,0.515,0.116,0.268,0.974,0.039,0,0,10.57300123
Rio do Fogo,2408953,0.518,0.0972,0.733,0.976,0.152,0,0,9.321498003
Rodolfo Fernandes,2411007,0.508,0.0922,0.56,0.984,0.031,8273877,0,9.044246948
Ruy Barbosa,2411106,0.521,0.0893,0.272,0.972,0.01,0,0,10.44025763
Santa Cruz,2411205,0.49,0.107,0.461,0.973,0.041,22758750,0,9.380113639
Santa Maria,2409332,0.483,0.0891,0.07,0.92,0.03,0,0,9.45810426
Santana do Matos,2411403,0.55,0.0827,0.609,0.987,0.018,20602215,0,9.260123383
Santana do Seridó,2411429,0.417,0.1901,0.143,0.981,0.009,0,0,9.724350843
Santo Antônio,2411502,0.498,0.0899,0.024,0.98,0.124,0,0,9.819692102
São Bento do Norte,2411601,0.512,0.4432,0.392,0.949,0.008,0,0.00076,9.206036762
São Bento do Trairí,2411700,0.534,0.0744,0.317,0.963,0.052,0,0,9.33068747
São Fernando,2411809,0.465,0.1628,0.085,0.995,0.005,0,0,9.497350022
São Francisco do Oeste,2411908,0.448,0.1416,0.553,0.967,0.055,0,0,10.01103583
São Gonçalo do Amarante,2412005,0.413,0.1439,0.024,0.995,0.07,0,0,10.49594975
São João do Sabugi,2412104,0.45,0.0752,0.741,0.977,0.015,87539870,0,9.078401228
São José de Mipibu,2412203,0.482,0.1517,0.008,0.973,0.216,0,0.26442,10.0349584
São José do Campestre,2412302,0.512,0.077,0.139,0.991,0.01,20649000,0,9.06118431
São José do Seridó,2412401,0.377,0.2641,0.068,0.965,0.005,49702394,0,9.320096433
São Miguel,2412500,0.521,0.0625,0.184,0.989,0.187,10865000,0,9.867689432
São Miguel do Gostoso,2412559,0.531,0.1511,0.542,0.992,0.082,0,0,10.66030338
São Paulo do Potengi,2412609,0.477,0.1061,0.002,0.983,0.059,23139587,0,9.149353832
São Pedro,2412708,0.487,0.0664,0.115,0.947,0.067,0,0,9.301665746
São Rafael,2412807,0.528,0.0617,0.221,0.989,0.001,0,0,9.242977455
São Tomé,2412906,0.505,0.0626,0.701,0.992,0.003,0,0,9.829824111
São Vicente,2413003,0.506,0.1204,0.346,0.987,0.061,0,0,9.454570454
Senador Elói de Souza,2413102,0.56,0.0803,0.027,0.989,0.083,0,0,9.76106743
Senador Georgino Avelino,2413201,0.48,0.0875,0.476,0.998,0.103,0,0.70378,9.28407706
Serra Caiada,2410306,0.524,0.088,0.226,0.95,0.043,0,0,9.010310682
Serra de São Bento,2413300,0.54,0.0585,0.211,0.975,0.141,0,0,9.323684755
Serra do Mel,2413359,0.506,0.102,0.152,0.971,0.52,0,0,9.877482464
